,width,N,R,Run,AgentId,Capacity,Conquered,Land Owned,Scaling A,Scaling B
0,10,10,10,0,0,53,"[(8, 7), (7, 6), (8, 7), (7, 6), (8, 6), (8, 6), (8, 6), (7, 6), (7, 6), (7, 6), (8, 6), (7, 6), (7, 6), (8, 6), (8, 6), (8, 6), (7, 6), (8, 6), (8, 6), (7, 6), (7, 6), (7, 6), (7, 6), (8, 6), (8, 6), (7, 6), (7, 6), (7, 6), (7, 6), (8, 6), (8, 6), (7, 6), (7, 6), (8, 6), (8, 6), (7, 6)]","[(7, 2), (6, 3), (5, 2), (3, 1), (5, 1), (3, 2), (4, 2), (6, 1), (7, 1), (8, 0), (7, 9), (7, 8), (8, 7)]",2,194
2002,15,10,10,0,2,159,"[(8, 11), (7, 13), (7, 13), (7, 14), (8, 1), (11, 14), (8, 9), (5, 7), (6, 8), (9, 10), (11, 13), (14, 9), (14, 10), (13, 11), (12, 11), (0, 12)]","[(8, 1), (8, 14), (7, 13), (7, 11), (7, 12), (5, 11), (5, 0), (5, 14), (5, 13), (5, 12), (3, 10), (4, 10), (9, 0), (11, 12), (9, 11), (8, 12), (7, 11), (6, 12), (5, 11), (5, 10), (5, 9), (5, 8), (6, 7), (5, 6), (4, 8), (6, 9), (7, 9), (8, 11), (9, 11), (10, 12), (8, 10), (9, 10), (10, 10), (13, 10)]",2,183
2001,15,10,10,0,1,63,"[(7, 5), (8, 5), (5, 4), (6, 2), (5, 3), (7, 5), (8, 5), (10, 3), (10, 4), (5, 7), (5, 6), (5, 7), (5, 6), (6, 5), (6, 6), (5, 7), (6, 6), (9, 7), (10, 7), (8, 9), (9, 8), (11, 5), (12, 5), (12, 7), (12, 6), (12, 7), (12, 6), (12, 8), (0, 7), (14, 7), (14, 7), (14, 7), (14, 7)]","[(12, 6), (8, 2), (7, 3), (8, 3), (5, 3), (4, 3), (3, 2), (3, 3), (5, 3), (7, 4), (6, 4), (5, 3), (6, 5), (7, 5), (9, 5), (10, 4), (10, 5), (10, 6), (12, 7)]",1,154
2000,15,10,10,0,0,55,"[(1, 5), (0, 5), (3, 6), (5, 7), (5, 6), (7, 5), (8, 5), (7, 5), (6, 6), (4, 8), (3, 11), (3, 12), (2, 12), (3, 12), (2, 12), (3, 12), (2, 12), (2, 13), (4, 13), (2, 13), (2, 13), (4, 13), (2, 14), (1, 14), (2, 14), (1, 14), (2, 0), (3, 12), (4, 13), (4, 13), (4, 13), (4, 13), (4, 13), (4, 13), (4, 13), (4, 13), (4, 13), (3, 12), (3, 12)]","[(0, 6), (14, 5), (13, 4), (12, 3), (10, 0), (11, 0), (10, 1), (12, 1), (10, 2), (11, 2), (11, 3), (13, 3), (13, 4), (1, 5), (2, 5), (3, 5), (2, 8), (0, 8), (1, 8), (0, 9), (2, 9), (0, 10), (3, 9), (0, 11), (1, 12), (0, 12), (14, 11), (0, 10), (1, 12), (1, 10), (2, 11)]",1,211
4001,20,10,10,0,1,90,"[(6, 8), (7, 10), (6, 10), (8, 9), (9, 10), (9, 11), (10, 14), (10, 13), (10, 14), (11, 12), (10, 13), (10, 15), (10, 14), (8, 17), (9, 16), (10, 16), (9, 18), (8, 18), (9, 18), (7, 18), (7, 18), (8, 17), (8, 18), (8, 17), (8, 18), (8, 17), (7, 18), (8, 17), (8, 18), (7, 18), (8, 17), (7, 18), (8, 18), (7, 18), (8, 17)]","[(11, 9), (10, 8), (9, 7), (8, 7), (7, 7), (6, 8), (5, 6), (4, 6), (3, 7), (5, 8), (4, 8), (6, 8), (6, 10), (7, 10), (7, 13), (6, 16), (7, 16), (7, 16)]",1,202
5050,20,30,40,0,0,44,"[(10, 16), (10, 16), (8, 14), (8, 14), (8, 14), (8, 14), (8, 15), (8, 14), (8, 14), (8, 14), (8, 14), (8, 15), (9, 15), (10, 16), (10, 16), (12, 19), (11, 19), (10, 16), (10, 16), (10, 17), (9, 15), (10, 16), (12, 16), (11, 15)]","[(7, 16), (6, 15), (5, 14), (5, 12), (7, 17), (8, 18), (6, 16), (8, 14), (9, 15), (8, 14), (9, 15), (10, 16), (11, 15), (8, 14)]",6,163
5051,20,30,40,0,1,63,"[(7, 1), (7, 1), (7, 3), (6, 7), (6, 7), (7, 8), (8, 7), (7, 8), (9, 8), (7, 7), (7, 7), (7, 8), (8, 8), (9, 8), (8, 8), (7, 9), (8, 8), (6, 9), (7, 9), (7, 9), (8, 10), (7, 9), (8, 9), (7, 9), (7, 9), (7, 9), (8, 9), (11, 8), (11, 6), (11, 6), (11, 7), (11, 8), (11, 7), (11, 8), (10, 8), (11, 8), (9, 8), (9, 8), (10, 8)]","[(2, 4), (3, 3), (2, 2), (3, 2), (4, 2), (5, 1), (5, 2), (5, 3), (5, 4), (6, 4), (7, 4), (7, 5), (8, 5), (5, 5), (5, 6), (6, 6), (5, 8), (6, 8), (8, 7)]",2,179
5052,20,30,40,0,2,78,"[(8, 13), (8, 13), (8, 13), (9, 15), (9, 15), (9, 15), (9, 15), (9, 15), (8, 14), (8, 14), (8, 14), (8, 14), (8, 14), (9, 15), (9, 15), (9, 15), (9, 15), (8, 14), (8, 14), (8, 11), (8, 10), (6, 10), (6, 10), (6, 9), (6, 9), (6, 10), (6, 9), (6, 9), (6, 10), (8, 10), (8, 10), (7, 9), (7, 9), (7, 9), (7, 9), (6, 9), (7, 9), (6, 9)]","[(11, 0), (10, 19), (9, 18), (8, 17), (7, 16), (8, 14), (8, 14), (7, 13), (7, 12), (5, 8)]",3,190
5053,20,30,40,0,3,112,"[(16, 17), (16, 17), (17, 17), (17, 17), (17, 17), (16, 17), (18, 16), (16, 17), (17, 17), (19, 17), (0, 17), (0, 17), (19, 18), (1, 18), (1, 18), (1, 18), (0, 17), (19, 18), (0, 17), (19, 19), (3, 17), (2, 17), (0, 19), (19, 17), (1, 18), (0, 19), (18, 1), (18, 2), (19, 19)]","[(15, 15), (15, 16), (17, 14), (15, 16), (18, 17), (18, 17), (19, 16), (19, 16), (18, 17), (18, 17), (19, 16), (18, 17), (19, 16), (19, 16), (0, 16), (19, 16), (18, 17), (19, 16), (19, 16), (18, 17), (18, 19), (19, 0), (18, 1), (18, 0), (17, 19), (18, 18), (17, 18), (18, 17), (19, 16), (18, 17)]",1,228
5054,20,30,40,0,4,88,"[(6, 15), (5, 17), (4, 18), (3, 18), (2, 17), (3, 17), (1, 18), (2, 17), (5, 19), (4, 17), (8, 2), (8, 0), (7, 3), (9, 6), (9, 4), (7, 7), (8, 7), (7, 7), (8, 7), (9, 6), (8, 6), (7, 7), (8, 7), (9, 6), (8, 6), (8, 7), (9, 6), (8, 6), (9, 6), (11, 6), (11, 7), (11, 6), (11, 5), (11, 6), (13, 9), (12, 9), (14, 10), (14, 10), (16, 9)]","[(4, 13), (5, 13), (6, 13), (4, 14), (6, 14), (4, 15), (5, 15), (5, 16), (1, 16), (2, 17), (5, 19), (5, 2), (5, 1), (6, 0), (8, 2), (7, 3), (9, 5), (8, 4), (7, 5), (7, 5), (7, 5), (7, 5), (7, 4), (10, 7), (13, 9), (14, 9), (15, 8)]",4,217
